관광지명,관광지분류,주소,운영상세사항,관광지설명,경도,위도,분류,반려견제한사항
제주 신례리 왕벚나무 자생지,자연,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,연중무휴 / ,제주시에서 서귀포시로 가는 길목 산자락에 자리하고 있는 나무 / 무료,126.6096904,33.33820947,마을 관광자원,
공천포구,항구,제주특별자치도 서귀포시 남원읍 신례리 72-18,연중무휴 / ,검은 돌과 검은 모래가 가득한 바다 / 무료,126.6418425,33.26338571,마을 관광자원,
예절이오름(여절악),오름,제주특별자치도 서귀포시 남원읍 신흥리 산 18,연중무휴 / ,정상에서 바라보는 말굽형 모양의 예절이오름 / 무료,126.7364605,33.34893211,마을 관광자원,
스프링데일CC,테마파크,제주특별자치도 서귀포시 남원읍 위미리 4625,연중무휴 / (평일+주말+공휴일)06:00~21:00,해발 400고지에 위치한 여름에는 시원하고 겨울에는 따뜻한 기온의 골프장 / 111000원(주중18홀)+141000원(토요일+공휴일)+80000원(카트비)+120000원(캐디비),126.6384742,33.32935251,마을 관광자원,
이음새,관광지,제주특별자치도 서귀포시 남원읍 위미리 4137-1,목요일 / (평일+주말+공휴일)10:00~17:00,"감귤 따기 체험, 감물염색 체험 등 체험을 할 수 있는 천연염색체험장 / 55000원(혼합봉10kg)+35000원(꼬마봉10kg)",126.651431,33.27578785,마을 관광자원,
위미동백나무군락,관광지,제주특별자치도 서귀포시 남원읍 위미리 903-1,연중무휴 / ,"사철 푸른 동백과 새, 감귤원과 함께 남국의 정취를 느낄 수 있음 / 무료",126.6747236,33.27292969,마을 관광자원,
"자배봉(자배오름, 망오름)",오름,제주특별자치도 서귀포시 남원읍 위미리 산 132-2,연중무휴 / ,생태숲과 유적지를 가지고 있는 자배봉 / 무료,126.6769199,33.30098962,마을 관광자원,
태웃개,관광지,제주특별자치도 서귀포시 남원읍 위미리 69,연중무휴 / ,여유롭게 물놀이를 즐기며 해안 절경을 감상할 수 있는 곳임 / 무료,126.6911068,33.27038829,마을 관광자원,
의귀리 김만일묘역,관광지,제주특별자치도 서귀포시 남원읍 의귀리 1773,연중무휴 / ,제주 고유의 석물문화를 밝히는 자료 / 무료,126.709273,33.32216083,마을 관광자원,
옥돔마을,관광지,제주특별자치도 서귀포시 남원읍 태흥리 364-4,연중무휴 / ,옥돔 경매 구경 및 옥돔 요리 먹을 수 있는 곳임 / 무료,126.7501733,33.2870209,마을 관광자원,
걸서악오름,오름,제주특별자치도 서귀포시 남원읍 하례리 산 124번지,연중무휴 / ,"시원한 하례리 마을 풍경과 범섬, 섭섬 풍경을 한번에 볼 수 있는 오름 / 무료",126.6200543,33.28228456,마을 관광자원,
제주농업생태원,관광지,제주특별자치도 서귀포시 남원읍 하례리 1558,연중무휴 / (평일+주말+공휴일)10:00~17:00,감귤에 대한 모든 궁금증을 풀어주는 곳 / 무료,126.609863,33.28862074,마을 관광자원,
효명사,관광지,제주특별자치도 서귀포시 남원읍 하례리 산 45,연중무휴 / ,한라산 중턱에 위치한 소박한 사찰 / 무료,126.5941628,33.32328748,마을 관광자원,
고살리숲길,자연,제주특별자치도 서귀포시 남원읍 하례리 산 54-2,연중무휴 / (평일)10:00~16:00+(주말)14:00~16:00,연중 물이 고이고 흐르는 계속에 나무들이 조화를 이루는 숲길 / 무료,126.5985137,33.31714129,마을 관광자원,
수악,오름,제주특별자치도 서귀포시 남원읍 하례리 산 10,연중무휴 / ,가슴을 청아하게 물들이는 오름 / 무료,126.6093992,33.3246324,마을 관광자원,
머체왓숲길,자연,제주특별자치도 서귀포시 남원읍 한남리 1622-3,연중무휴 / (평일+주말+공휴일+하절기)08:30~18:30+(평일+주말+공휴일+동절기)09:00~19:00,다양한 테마가 어우러진 숲길임 / 무료,126.673919,33.3305303,마을 관광자원,
사려니오름,오름,제주특별자치도 서귀포시 남원읍 한남리 산 2-1,월요일+화요일+산불조심기간(매년 11월 1일~ 5월 15일) / (평일+주말+공휴일)09:00~17:00,볼록한 제주 오름들이 한눈에 보이는 오름 / 무료,126.6458498,33.34008502,마을 관광자원,
가파도,자연,제주특별자치도 서귀포시 대정읍 가파리 276, / ,제주도 부속섬 중 4번째로 큰 섬임 / ,126.2714146,33.1700117,마을 관광자원,
노리매,테마파크,제주특별자치도 서귀포시 대정읍 구억리 654-1,연중무휴 / (평일+주말+공휴일)09:00~18:00,사계절이 머무는 자연 속에서 여유롭게 산책할 수 있는 공원 / 9000원(성인개인)+7000원(성인단체)+6000원(청소년개인+군인개인+유공자개인+경로개인+장애인개인)+5000원(청소년단체+군인단체+유공자단체+경로단체+장애인단체+어린이개인)+4000원(어린이단체),126.2873486,33.28309895,마을 관광자원,
대한민국최남단비,관광지,제주특별자치도 서귀포시 대정읍 가파리 583-9, / ,최남단을 상징하는 기념비 / ,126.2685579,33.11377176,마을 관광자원,
마라도 등대,기타,제주특별자치도 서귀포시 대정읍 가파리 639,연중무휴 / (평일+주말+공휴일)09:00~18:00,대한민국 최남단에 위치한 푸른 잔디밭 끝에 걸쳐 바다를 향하고 있는 마라도 등대 / ,126.2695118,33.11664905,마을 관광자원,
초콜렛캐슬,전시관,제주특별자치도 서귀포시 대정읍 가파리 685, / ,초콜릿을 주제로 전시된 작품이 있는 박물관 / ,126.2672697,33.11392085,마을 관광자원,
마라도,자연,제주특별자치도 서귀포시 대정읍 가파리 600, / ,대한민국 최남단에 위치한 섬 / ,126.2671688,33.11848589,마을 관광자원,
가파초등학교 마라분교장,관광지,제주특별자치도 서귀포시 대정읍 가파리 696, / ,마라도에 위치한 분교이며 관광객들 포토존 / ,126.2667098,33.11924732,마을 관광자원,
무릉곶자왈,자연,제주특별자치도 서귀포시 대정읍 무릉리 산 1,연중무휴 / ,자연 그대로를 간직한 제주도만의 독특한 숲 / ,126.2625449,33.29155108,마을 관광자원,
엉클리틀,테마파크,제주특별자치도 서귀포시 대정읍 보성리 989, / ,관광농원 및 팜스테이 / ,126.2646735,33.25599076,마을 관광자원,
제주곶자왈도립공원,공원,제주특별자치도 서귀포시 대정읍 보성리 산1,연중무휴 / (평일+주말+공휴일+하절기)09:00~18:00+(평일+주말+공휴일+동절기)09:00~18:00,암괴들이 불규칙하게 널려있는 지대에 형성된 숲 / 1000원(성인)+800원(청소년+군인)+500원(어린이),126.2736047,33.28319972,마을 관광자원,
발자국화석공원,자연,제주특별자치도 서귀포시 대정읍 상모리 626-1, / ,천연기념물 제464호로 지정되어 있으며 다양한 생물의 발자국 화석을 볼 수 있는 곳 / ,126.2931434,33.21735034,마을 관광자원,
송악산진지동굴,자연,제주특별자치도 서귀포시 대정읍 상모리 194-2, / ,2차 대전 당시 대정읍에 만든 국내 최대의 일제시대 군사유적지 / ,126.2917117,33.20333105,마을 관광자원,
송악카트체험장,관광지,제주특별자치도 서귀포시 대정읍 상모리 139,연중무휴 / (평일+주말+공휴일+하절기)09:00~18:30+(평일+주말+공휴일+동절기)09:00~17:00,송악산 근처 레포츠시설 카트체험장 / 25000원(성인+청소년+어린이)+5000원(유아동승),126.2894204,33.20850906,마을 관광자원,
알뜨르비행장,관광지,제주특별자치도 서귀포시 대정읍 상모리 1670,연중무휴 / ,1945년 무렵에 만들어진 일본 해군 비행장의 부속 시설 / ,126.2715241,33.20471796,마을 관광자원,
섯알오름 ,오름,제주특별자치도 서귀포시 대정읍 상모리 1593-2, / ,역사의 아픔을 간직한 오름 / ,126.2812239,33.20647842,마을 관광자원,
송악산 전망대,기타,제주특별자치도 서귀포시 대정읍 상모리 산 2-13, / ,해안을 따라 펼쳐진 주변 경관을 감상할 수 있어 관광객들이 많이 찾는 곳 / ,126.2939734,33.19848191,마을 관광자원,
제주 추사관,관광지,제주특별자치도 서귀포시 대정읍 안성리 1661-1,월요일 / (평일+주말+공휴일)09:00~18:00,조선 후기 문신이자 서화가였던 추사 김정희 선생이 제주 유배지에서 역작 「세한도」와 추사체(秋史體)를 창출해 낸 업적을 기리는 곳으로 김정희 선생이 유배생활을 하며 남긴 흔적들을 볼 수 있음 / 무료,126.2782283,33.24997529,마을 관광자원,
제주도예촌,관광지,제주특별자치도 서귀포시 대정읍 영락리 6, / (평일)10:00~17:00,유약없이 도자기를 직접 굽는 곳으로 제주만의 도자기를 볼 수 있는 제주의 숨겨진 명소 / ,126.2355517,33.26490673,마을 관광자원,
초콜릿박물관,전시관,제주특별자치도 서귀포시 대정읍 일과리 551-18,연중무휴 / (평일+주말+공휴일)10:30~17:00,초콜릿의 역사와 지구상 모든 초콜릿에 대하여 알아갈 수 있는 초콜릿 박물관임 / 7000원(성인+중학생이상)+6500원(성인단체+중학생단체)+5000원(6세부터13세까지)+4500원(6세부터13세까지단체),126.2299943,33.25703747,마을 관광자원,
하모해변,해수욕장+해변,제주특별자치도 서귀포시 대정읍 하모리 279,연중무휴 / (평일+주말+공휴일)00:00~24:00,"안전사고 우려가 높아 현재는 폐장된 상태이며, 올레 10코스 지점 중 하나이며 해변 근처에 유료 야영장이 존재함, 여름 성수기에는 바닷속을 걸어 다니는 ‘씨워킹’이라는 이색 해양 스포츠를 경험할 수 있음 / 무료",126.2608081,33.21129293,마을 관광자원,
제주커피박물관 Baum,전시관,제주특별자치도 서귀포시 성산읍 고성리 2040-1,연중무휴 / (평일+주말+공휴일+하절기)09:00~19:00+(평일+주말+공휴일+동절기)09:00~18:00,숲과 함께 다채로운 커피의 향을 즐길 수 있는 곳 / 7000원(바움라떼)+7500원(아인슈페너)+5000원(에스프레소),126.8992088,33.43987825,마을 관광자원,
대수산봉,오름,제주특별자치도 서귀포시 성산읍 고성리 2039-1,연중무휴 / (평일+주말+공휴일)00:00~24:00,성산일출봉과 섭지코지가 아름답게 내려다 보이는 곳 / 무료,126.9016368,33.43967057,마을 관광자원,
빛의벙커,전시관,제주특별자치도 서귀포시 성산읍 고성리 2039-22,연중무휴 / (평일+주말+공휴일+하절기)10:00~19:00+(평일+주말+공휴일+동절기)10:00~18:00,옛 국가기간 통신시설 벙커를 재생하여 거장들의 작품을 빛과 음악을 통해서 감상하는 빛의 벙커 / 18000원(성인)+13000원(청소년)+10000원(어린이)+8000원(4세이상7세까지+장애인+국가유공자)+12600원(제주도민성인)+9100원(제주도민청소년)+7000원(제주도민어린이)+5600원(제주도민4세이상7세까지+장애인+국가유공자),126.8998166,33.43964883,마을 관광자원,
쿠지홀리데이팜,테마파크,제주특별자치도 서귀포시 성산읍 난산리 1097,연중무휴 / (평일+주말+공휴일)10:00~16:00,천혜향 따기 체험과 구매를 할 수 있는 농원 / 10000원(성인+청소년+어린이),126.8708197,33.40218696,마을 관광자원,
아일랜드플라워,테마파크,제주특별자치도 서귀포시 성산읍 난산리 2236,연중무휴 / (평일+주말+공휴일)10:00~18:00,제주도 남쪽 동부에 위치한 아일랜드 플라워 동물원 / 7000원(성인+청소년)+5000원(어린이),126.8496372,33.42432256,마을 관광자원,
모구리오름,오름,제주특별자치도 서귀포시 성산읍 난산리 2960-1,연중무휴 / (평일+주말+공휴일)00:00~24:00,편백나무 숲이 있는 오름 / 무료,126.8286384,33.40901972,마을 관광자원,
유건에오름,오름,제주특별자치도 서귀포시 성산읍 난산리 2302,연중무휴 / (평일+주말+공휴일)00:00~24:00,북쪽과 서쪽의 봉우리가 이어져 1km의 능선을 이루고 있는 오름 / 무료,126.8458048,33.41322123,마을 관광자원,
베니스랜드,테마파크,제주특별자치도 서귀포시 성산읍 난산리 2570,연중무휴 / (평일+주말+공휴일)09:00~18:00,제주에서 만나는 아름다운 수상도시 베니스 여행 / 12000원(성인)+10000원(청소년)+8000원(어린이),126.8407105,33.41527273,마을 관광자원,
김영갑갤러리두모악,전시관,제주특별자치도 서귀포시 성산읍 삼달리 437-5,수요일+명절(추석+설날) / (하절기)09:30~18:30+(동절기)09:30~17:00+(간절기)09:30~18:00,두모악에는 제주를 매우 사랑하며 두모악에 잠든 김영갑 선생의 20여년간의 작품들이 전시 / 4500원(성인)+3000원(청소년+군인+국가유공자+제주도민)+1500원(어린이+65세이상경로)+무료(3세이하+장애인),126.854144,33.37189885,마을 관광자원,
고흐의정원,관광지,제주특별자치도 서귀포시 성산읍 삼달리 1185-2,연중무휴 / (평일+주말+공휴일)09:30~18:30,위대한 작가 반고흐의 지난 삶을 보고 듣고 만질 수 있는 고흐의 정원 / 12000원(성인)+10000원(청소년+20명단체성인)+8000원(어린이+제주도민성인+제주도민청소년+20명단체청소년)+6000원(제주도민어린이+20명단체어린이),126.8437071,33.37335804,마을 관광자원,
블루마운틴4255,관광지,제주특별자치도 서귀포시 성산읍 삼달리 1510-1,연중무휴 / (평일+주말+공휴일)09:00~18:00,향긋한 커피의 공간 블루마운틴 커피박물관 / 12000원(커피족욕)+15000원(전동킥보드1시간)+20000원(전동킥보드2시간),126.8373142,33.38006916,마을 관광자원,
미천굴,자연,제주특별자치도 서귀포시 성산읍 삼달리 1010,연중무휴 / (평일+주말+공휴일)08:30~18:00,"길이 1,695 m이며, 신생대 제4기 초에 생겨난 용암굴 / 9000원(성인)+8000원(경로)+6000원(청소년)+5000원(어린이)",126.84266,33.38344811,마을 관광자원,
일출랜드,테마파크,제주특별자치도 서귀포시 성산읍 삼달리 1010,연중무휴 / (평일+주말+공휴일)09:00~18:00,"미천굴을 중심으로 사계절 제주 토종 식물과 꽃의 축제가 열리는 제주 청정 자연의 생태, 문화, 체험이 가능한 웰니스 관광지 / 9000원(성인)+8000원(경로)+6000원(청소년)+5000원(어린이+감귤체험)",126.8415988,33.38342648,마을 관광자원,
성산일출봉,자연,제주특별자치도 서귀포시 성산읍 성산리 114,매월1번째월요일 / (평일+주말+하절기)07:00~20:00+(평일+주말+동절기)07:30~19:00,제주도의 다른 오름들과는 달리 마그마가 물속에서 분출하면서 만들어진 수성화산체 / 5000원(성인)+4000원(성인단체)+2500원(청소년+군인+어린이)+2000원(청소년단체+군인단체+어린이단체),126.9405375,33.45911604,마을 관광자원,
성산포항,자연,제주특별자치도 서귀포시 성산읍 성산리 347-9,연중무휴 / (평일+주말+공휴일)00:00~24:00,제주 서귀포시 성산읍에 있는 항구 / 무료,126.9332874,33.47343666,마을 관광자원,
대왕산,자연,제주특별자치도 서귀포시 성산읍 수산리 1429,연중무휴 / (평일+주말+공휴일)00:00~24:00,성산읍 수산리 북서쪽에 위치한 오름 / 무료,126.8729152,33.45612141,마을 관광자원,
통오름,오름,제주특별자치도 서귀포시 성산읍 신산리 1754-1,연중무휴 / (평일+주말+공휴일)00:00~24:00,"산 모양이 물통, 밥통 같은 통처럼 움푹 패인 형태라고 하여 통오름 / 무료",126.8558848,33.39303937,마을 관광자원,
쇠와꽃승마장,관광지,제주특별자치도 서귀포시 성산읍 고성리 354-1,연중무휴 / (평일+주말+공휴일+하절기)09:00~18:30+(평일+주말+공휴일+동절기)09:00~17:30,해변을 따라 승마를 즐길 수 있는 곳 / 25000원(쇠와꽃A코스)+50000원(쇠와꽃B코스)+150000원(해안외승트레킹),126.91985,33.44736091,마을 관광자원,
아쿠아플라넷 제주,테마파크,제주특별자치도 서귀포시 성산읍 고성리 127-3,연중무휴 / (평일+주말+공휴일)09:30~19:00,450여종의 바다생명체가 있는 아시아 최대 수족관 / 40700원(성인)+38900원(청소년+경로)+36900원(어린이),126.927681,33.43287455,마을 관광자원,
붉은오름,오름,제주특별자치도 서귀포시 성산읍 고성리 57,연중무휴 / (평일+주말+공휴일)00:00~24:00,오름 전체가 붉은송이로 형성되어 있는 곳 / 무료,126.9336425,33.42742537,마을 관광자원,
소수산봉,오름,제주특별자치도 서귀포시 성산읍 고성리 887,연중무휴 / (평일+주말+공휴일)00:00~24:00,아름다운 일출봉과 광치기 해안을 볼 수 있는 곳 / 무료,126.9122111,33.43675277,마을 관광자원,
섭지코지,자연,제주특별자치도 서귀포시 성산읍 고성리 87,연중무휴 / (평일+주말+공휴일)00:00~24:00,아름다운 해안이 일품인 섭지 / 무료,126.9306049,33.42393671,마을 관광자원,
광치기해변,해수욕장+해변,제주특별자치도 서귀포시 성산읍 고성리 224-33,연중무휴 / (평일+주말+공휴일)00:00~24:00,성산일출봉과 독특한 해안지형이 어우러져 이색적인 풍광을 간직한 곳 / 무료,126.9238923,33.45231781,마을 관광자원,
아비앙또정원,테마파크,제주특별자치도 서귀포시 성산읍 신풍리 1411,연중무휴 / (평일+주말+공휴일)10:00~18:00,개인이 운영하는 정원. 아름다운 해바라기를 볼 수 있어 많은 사람들이 찾는 곳 / 5000원(성인+청소년+어린이+경로),126.8207755,33.36924046,마을 관광자원,
식산봉,오름,제주특별자치도 서귀포시 성산읍 오조리 313,연중무휴 / (평일+주말+공휴일)00:00~24:00,성산읍 오조리에 위치한 측화산. 제주 기념물 제47호인 황근자생지 및 상록활엽수림이 있는 곳 / 무료,126.9199326,33.46566816,마을 관광자원,
오조포구,항구,제주특별자치도 서귀포시 성산읍 오조리,연중무휴 / (평일+주말+공휴일)00:00~24:00,바다 위 성산일출봉의 모습이 보임. 인기 드라마의 촬영지로 쓰여 관광객들이 많이 찾는 곳 / 무료,126.9210375,33.46323452,마을 관광자원,
혼인지마을,관광지,제주특별자치도 서귀포시 성산읍 온평리 1693,연중무휴 / (평일+주말+공휴일)08:00~17:00,"혼인지는 탐라국 건국신화 ‘삼신인’의 신화가 있는 곳으로, 넓은 연못인 혼인지에서 3신이 혼례를 올림으로써 자손이 늘어나고 농사가 시작되었다는 전설이 전해짐 / 무료",126.8937838,33.41518977,마을 관광자원,
안덕계곡,자연,제주특별자치도 서귀포시 안덕면 감산리 1946,연중무휴  / (평일+주말+공휴일)00:00~24:00,"구가의 서' 촬영지, 제주의 아름다운 계곡 중 하나로 꼽히는 신비한 안덕계곡, 공사중으로 출입 전면 통제 중, 2023년 공사 완료 예정 / 무료",126.352557,33.2571804,마을 관광자원,
감귤체험농장 예래팜 본점,관광지,제주특별자치도 서귀포시 안덕면 감산리 349, / (평일)09:00~18:00,친환경으로 직접 지은 귤 따기 체험과 친환경 무농약 귤을 경험할 수 있는 곳 / 5000원(감귤따기체험),126.3541987,33.25866984,마을 관광자원,
월라봉 진지동굴(안덕면),자연,제주특별자치도 서귀포시 안덕면 감산리 1162,연중무휴 / ,아름답지만 슬픈 역사가 남아 있는 월라봉 진지동굴 / 무료,126.3488505,33.2447052,마을 관광자원,
건강과성박물관,전시관,제주특별자치도 서귀포시 안덕면 감산리 1404,연중무휴 / (평일+주말+공휴일+하절기)09:00~20:00+(평일+주말+공휴일+동절기)09:00~18:00+(평일+주말+공휴일+간절기)09:00~19:00,"건강과 성 박물관은 서귀포시 안덕면 감산리에서 세계최대, 최초의 제1종 성 박물관으로 운영 / 13000원(성인)+11000원(제주도민+경로우대+의무군경)+9000원(장애인)",126.3466608,33.25490453,마을 관광자원,
볼레낭길,자연,제주특별자치도 서귀포시 안덕면 감산리 1049,연중무휴 / ,"제주올레 9코스의 한 구간, 보리수나무가 흐드러진 볼레낭길 / 무료",126.3492461,33.23584661,마을 관광자원,
월나봉(도래오름),오름,제주특별자치도 서귀포시 안덕면 감산리 1144,연중무휴 / ,제주 서부일대의 전쟁유적지를 느낄 수 있는 오름 / 무료,126.3494815,33.24390832,마을 관광자원,
창고천생태공원,공원,제주특별자치도 서귀포시 안덕면 감산리 1946, / ,안덕지역을 통과하는 생태 공원 / ,126.3548912,33.25643517,마을 관광자원,
박수기정,관광지,제주특별자치도 서귀포시 안덕면 감산리 1008,연중무휴 / ,중문의 주상절리나 애월 해안도로의 해안 절벽 같은 멋진 풍경을 지닌 곳 / 무료,126.359158,33.2364413,마을 관광자원,
왕이메오름,오름,제주특별자치도 서귀포시 안덕면 광평리 산 79,연중무휴 / (평일+주말+공휴일)09:00~18:00,탐라국 삼신왕이 사흘 동안 기도를 드린 전설 속의 오름(마지막 입산시간:15:30) / 무료,126.3765718,33.34352428,마을 관광자원,
돔박이오름,오름,제주특별자치도 서귀포시 안덕면 광평리 산 89,연중무휴 / ,키 큰 억새들의 오름 / 무료,126.3643392,33.33947266,마을 관광자원,
군산,오름,제주특별자치도 서귀포시 안덕면 창천리 산 3-1, / ,비고 280m의 원추형(라바돔) 화구를 지닌 화산체 / ,126.3699606,33.25310206,마을 관광자원,
대평포구,항구,제주특별자치도 서귀포시 안덕면 창천리 914-5,연중무휴 / (평일+주말+공휴일)00:00~24:00,"제주 올레 9코스의 시작 점이자 동시에 8코스의 종착점이며, 넓은 포구의 해안 길을 따라 걷다 보면 박수 기정이라 불리는 해안 절벽이 수려한 풍광을 자랑하고 있음 / 무료",126.3619046,33.23718348,마을 관광자원,
은하감귤체험농장,관광지,제주특별자치도 서귀포시 안덕면 덕수리 1700,연중무휴 / (평일+주말+공휴일)09:00~17:00,귤 따기 체험과 귤 판매를 하는 곳 / 5000원,126.3045463,33.27249876,마을 관광자원,
감귤밭미즈허팜,관광지,제주특별자치도 서귀포시 안덕면 덕수리 1115,하절기+간절기 / (평일+주말+공휴일+동절기+간절기)09:30~17:00,부담없이 감귤체험을 할 수 있는 농장(10~3월 운영) / 12000원,126.3141515,33.26166515,마을 관광자원,
미령이네,테마파크,제주특별자치도 서귀포시 안덕면 덕수리 2107-8,목요일 / (평일+주말+공휴일)10:00~17:00,직접 농사지은 귤 밭에서 귤 따기 체험농장을 운영 중 / 6000원,126.3042515,33.26129007,마을 관광자원,
마노르블랑,테마파크,제주특별자치도 서귀포시 안덕면 덕수리 2952,연중무휴 / (평일+주말+공휴일)09:00~19:00,7000여본에 유럽 수국과 장미 그리고 동백으로 꾸며진 아름다운 정원이 있는 아날로그감성 카페 / 4000원(성인),126.2949881,33.25481842,마을 관광자원,
하영담아감귤농장,테마파크,제주특별자치도 서귀포시 안덕면 덕수리 2263-2,연중무휴 / (평일+주말+공휴일)09:00~18:00,농촌과 도시의 연결고리인 하영담아 감귤농장 / 35000원(바구니당),126.3046396,33.25428671,마을 관광자원,
루나폴,테마파크,제주특별자치도 서귀포시 안덕면 덕수리 산 27,연중무휴 / (평일+주말+공휴일)19:00~24:00,세계 최대규모 디지털 테마파크 / 22000원(성인)+20000원(청소년)+17000원(어린이),126.3222747,33.25413388,마을 관광자원,
제주아트서커스,관광지,제주특별자치도 서귀포시 안덕면 동광리 886,연중무휴 / (평일+주말+공휴일)09:00~17:00(10:30/15:00/17:00 3회공연),"세계 최초 7인의 여전사, 오토바이쇼 상상 그 이상의 감동 국내 최초 오토바이쇼 상설 공연을 시작으로 항상 최고와 새로움을 추구하는 서커스월드 공연장 / 20000원(성인)+18000원(청소년)+15000원(어린이)",126.3448081,33.31437865,마을 관광자원,
무등이왓터,관광지,제주특별자치도 서귀포시 안덕면 동광리 233-1,연중무휴 / ,불에 타 흔적만 남은 마을의 터 / 무료,126.3520825,33.30942864,마을 관광자원,
삼밭구석,관광지,제주특별자치도 서귀포시 안덕면 동광리 1396,연중무휴 / ,4.3사건 당시 죽은 삼밧구석 주민들의 원혼을 달래기 위해 마을 출신 주민들이 직접 세운 비석 / 무료,126.3307772,33.30995135,마을 관광자원,
토이파크,전시관,제주특별자치도 서귀포시 안덕면 동광리 383,연중무휴 / (평일+주말+공휴일)09:00~19:30,국내외 진귀한 장난감이 모여 있는 꿈동산 / 8000원(성인+청소년+어린이),126.3453645,33.31895498,마을 관광자원,
조은승마장,관광지,제주특별자치도 서귀포시 안덕면 동광리 897-2,연중무휴 / (평일+주말)09:00~18:00,아이들과 함께하는 승마체험 / ,126.3448302,33.3182399,마을 관광자원,
당오름,오름,제주특별자치도 서귀포시 안덕면 동광리 산 68-1,연중무휴 / ,뱀을 신으로 모시던 신당이 있던 오름 / 무료,126.3356543,33.33409324,마을 관광자원,
원물오름,오름,제주특별자치도 서귀포시 안덕면 동광리 산 41,연중무휴 / ,동광리에 위치한 측화산 / 무료,126.3448844,33.32320578,마을 관광자원,
거린오름,오름,제주특별자치도 서귀포시 안덕면 동광리 산 94,연중무휴 / ,제주도 서부를 한눈에 조망할 수 있는 거린오름 / 무료,126.3319271,33.30313462,마을 관광자원,
밝은오름,오름,제주특별자치도 서귀포시 안덕면 동광리 736,연중무휴 / ,명칭을 벗어나 숲을 이룬 환경으로 시민들을 받아들이는 착한 화산체 / 무료,126.3414677,33.30126738,마을 관광자원,
감낭오름,오름,제주특별자치도 서귀포시 안덕면 동광리 산 41,연중무휴 / ,오름 주변에 감나무가 있었음에 연유하여 감낭이라 이름 붙여진 오름 / 무료,126.3501824,33.32491736,마을 관광자원,
북오름,오름,제주특별자치도 서귀포시 안덕면 동광리 산 93,연중무휴 / ,안덕 곶자왈 지대에 위치한 북오름 / 무료,126.3320643,33.30627296,마을 관광자원,
